1|1|11.6.2022|12.40|ei|13|17.0|Paras Golfkerho
2|1|11.6.2022|12.40|ei|16|19.0|Paras Golfkerho
3|1|11.6.2022|12.40|ei|9|27.0|Paras Golfkerho
4|2|11.6.2022|12.40|ei|15|11.0|Paras Golfkerho
5|2|11.6.2022|12.40|ei|15|13.0|Paras Golfkerho
1|1|11.6.2022|12.40|ei|13|17.0|Paras Golfkerho
2|1|11.6.2022|12.40|ei|16|19.0|Paras Golfkerho
3|1|11.6.2022|12.40|ei|9|27.0|Paras Golfkerho
4|2|11.6.2022|12.40|ei|15|11.0|Paras Golfkerho
5|2|11.6.2022|12.40|ei|15|13.0|Paras Golfkerho
1|1|11.6.2022|12.40|ei|13|17.0|Paras Golfkerho
2|1|11.6.2022|12.40|ei|16|19.0|Paras Golfkerho
3|1|11.6.2022|12.40|ei|9|27.0|Paras Golfkerho
4|2|11.6.2022|12.40|ei|15|11.0|Paras Golfkerho
5|2|11.6.2022|12.40|ei|15|13.0|Paras Golfkerho
